Abadino,43.1337080373844,-2.6189234767
Abanto-y-Ciervana-Abanto-Zierb,43.256963,-2.923441
Ajangiz,43.3029736958374,-2.6658577093
Alonsotegi,43.2253162468628,-2.9804057854
Amorebieta-Etxano,43.2198611681663,-2.7060057240
Amoroto,43.3239314643855,-2.5028858065
Arakaldo,43.1519479316177,-2.9293254292
Arantzazu,43.1457613466517,-2.7840266348
Areatza,43.1104054360568,-2.7800573075
Arrankudiaga,43.256963,-2.923441
Arratzu,43.3143844694218,-2.6422939587
Arrieta,43.3502019714554,-2.7631410924
Arrigorriaga,43.2060690640745,-2.9113670567
Artea,43.128734558601,-2.79346830625
Artzentales,43.2329960385196,-3.2370974383
Atxondo,43.1116003948773,-2.5828327399
Aulesti,43.256963,-2.923441
Bakio,43.4298225384536,-2.8051354062
Balmaseda,43.1933935149294,-3.2052498816
Barakaldo,43.297526361366,-2.98622131347
Barrika,43.406792090593,-2.96083378599
Basauri,43.2166667,-2.8833333
Bedia,43.1997937458641,-2.8202903866
Berango,43.3578871999404,-2.9726541923
Bermeo,43.4208841482666,-2.7248668670
Berriatua,43.322980568719,-2.45591991216
Berriz,43.1910402080915,-2.5932623014
Bilbao,43.2603479167077,-2.9334110846
Busturia,43.3844037355321,-2.6998901367
Derio,43.2833333,-2.8833333
Dima,43.1333333,-2.7333333
Durango,43.1648111651072,-2.6498017282
Ea,43.3839944229885,-2.5833373548
Elantxobe,43.4028025867616,-2.6398086547
Elorrio,43.1283169446649,-2.5368343399
Erandio,43.3227902130888,-2.9516074364
Ereño,43.3556293844346,-2.6067326258
Ermua,43.1877371589622,-2.5030520083
Errigoiti,43.3319955380401,-2.7341390296
Etxebarri,43.256963,-2.923441
Etxebarria,43.2607941949759,-2.4730270516
Forua,43.3384982300679,-2.6762945127
Fruiz,43.3264620897201,-2.7903746528
Galdakao,43.256963,-2.923441
Galdames,43.2686768733008,-3.1065005614
Gamiz-Fika,43.316242960277,-2.81194880117
Garai,43.1974640257608,-2.6179866363
Gatika,43.3603464661003,-2.8819282854
Gautegiz Arteaga,43.3647601066026,-2.6601387319
Gernika-Lumo,43.3093554144568,-2.6812780574
Getxo,43.256963,-2.923441
Gizaburuaga,43.3271125075616,-2.5392794348
Gordexola,43.256963,-2.923441
Gorliz,43.422549544948,-2.93971813329
Gueñes,43.256963,-2.923441
Ibarrangelu,43.4006764531992,-2.6573556837
Igorre,43.1755984346288,-2.7810126489
Ispaster,43.3638982340241,-2.5353952562
Iurreta,43.189998258626,-2.65540577128
Izurtza,43.1514444444356,-2.6507125492
KARRANTZA HARANA/VALLE DE CARRANZA,43.256963,-2.923441
Kortezubi,43.3333504796784,-2.6429755023
Lanestosa,43.2182035270662,-3.4374022639
Larrabetzu,43.2655676047553,-2.7934291411
Laukiz,43.3489846615757,-2.9097082553
Leioa,43.3271887668033,-2.9813761550
Lekeitio,43.3665823496077,-2.5007428001
Lemoa,43.256963,-2.923441
Lemoiz,43.4287903342646,-2.8868188338
Lezama,43.2726295192318,-2.8246699233
Loiu,43.3105386934975,-2.9127073183
Mallabia,43.2066405391472,-2.5288766094
Mañaria,43.1296778922611,-2.6628328853
Markina-Xemein,43.2630361475457,-2.4794169549
Maruri-Jatabe,43.390883156976,-2.86450014967
Meñaka,43.3732339607002,-2.7968674093
Mendata,43.2833947643034,-2.6368179457
Mendexa,43.256963,-2.923441
Morga,43.3106151739017,-2.7603886689
Mundaka,43.4092831037342,-2.7036664806
Mungia,43.3454312049229,-2.8408979725
MUNITIBAR-ARBATZEGI GERRIKAITZ,43.2620574636808,-2.5932635497
Murueta,43.3583598855415,-2.6796598073
Muskiz,43.3302992150543,-3.1290623900
Muxika,43.2487173918458,-2.6783648398
Nabarniz,43.3256011557386,-2.5856202818
Ondarroa,43.3258721175043,-2.4302700230
Orozko,43.256963,-2.923441
Ortuella,43.3073232922144,-3.0538625203
Otxandio,43.0408824520699,-2.6567741258
Plentzia,43.3981368235734,-2.9337653532
Portugalete,43.316959358688,-3.02363590120
Santurtzi,43.3346041263572,-3.0433518643
Sestao,43.3065222257616,-2.9944420673
Sondika,43.293413482856,-2.92674471296
Sopela,43.3826439901058,-2.9828087816
Sopuerta,43.2590899878076,-3.1650898749
Sukarrieta,43.256963,-2.923441
Trucios-Turtzioz,43.2861057058659,-3.2754469986
Ubide,43.0307149695576,-2.6911342442
Ugao-Miraballes,43.18636475734,-2.904812439101
Urduliz,43.3692107730662,-2.9416203426
URDUÑA/ORDUÑA,43.0107941948439,-3.0230256075
VALLE DE TRAPAGA-TRAPAGARAN,43.256963,-2.923441
Zaldibar,43.1703033902407,-2.5181383104
Zalla,43.2166667,-3.1333333
Zamudio,43.2944207055166,-2.8781651561
Zaratamo,43.2099223287719,-2.8695453748
Zeanuri,43.0735195118616,-2.7399470763
Zeberio,43.160742618808,-2.86731337401
Zierbena,43.3543041103293,-3.0907412784





